,country,inf_mort2019,life_expt,continent,pop2019
0,Afghanistan,46.4,63.6,Asia,38041757.0
1,Angola,49.9,62.4,Africa,31825299.0
2,Albania,8.6,79.3,Europe,2854191.0
3,Andorra,2.5,83.0,Europe,77146.0
4,United Arab Emirates,5.8,79.7,Asia,9770526.0
5,Argentina,8.1,77.3,Americas,44938712.0
6,Armenia,10.2,75.4,Asia,2957728.0
7,Antigua and Barbuda,5.6,78.7,Americas,97115.0
8,Australia,3.2,83.1,Oceania,25365745.0
9,Austria,2.9,81.9,Europe,8879920.0
10,Azerbaijan,18.2,73.1,Asia,10024283.0
11,Burundi,39.9,62.4,Africa,11530577.0
12,Belgium,3.4,81.8,Europe,11488980.0
13,Benin,57.9,60.5,Africa,11801151.0
14,Burkina Faso,54.1,60.0,Africa,20321383.0
15,Bangladesh,25.5,72.8,Asia,163046173.0
16,Bulgaria,5.5,75.1,Europe,6975761.0
17,Bahrain,5.9,80.0,Asia,1641164.0
18,Belarus,2.4,74.2,Europe,9419758.0
19,Belize,10.6,73.9,Americas,390351.0
20,Bolivia,21.5,67.8,Americas,11513102.0
21,Brazil,13.3,75.3,Americas,211049519.0
22,Barbados,11.7,77.3,Americas,287021.0
23,Bhutan,23.9,71.4,Asia,763094.0
24,Botswana,36.9,65.5,Africa,2303703.0
25,Central African Republic,79.1,55.0,Africa,4745179.0
26,Canada,4.4,82.4,Americas,37601230.0
27,Switzerland,3.6,83.8,Europe,8575280.0
28,Chile,6.0,80.3,Americas,18952035.0
29,China,5.9,78.0,Asia,1407745000.0
30,Cameroon,49.9,61.6,Africa,25876387.0
31,Colombia,11.7,76.8,Americas,50339443.0
32,Comoros,48.7,64.1,Africa,850891.0
33,Costa Rica,7.2,79.4,Americas,5047561.0
34,Cuba,4.2,77.6,Americas,11333484.0
35,Cyprus,2.3,81.4,Asia,1198574.0
36,Germany,3.2,81.6,Europe,83092962.0
37,Djibouti,48.6,63.1,Africa,973557.0
38,Dominica,31.2,73.6,Americas,71808.0
39,Denmark,3.2,81.4,Europe,5814422.0
40,Dominican Republic,28.3,73.6,Americas,10738957.0
41,Algeria,20.0,76.5,Africa,43053054.0
42,Ecuador,11.6,77.3,Americas,17373657.0
43,Eritrea,30.5,67.3,Africa,
44,Spain,2.7,83.5,Europe,47134837.0
45,Estonia,1.8,78.7,Europe,1326855.0
46,Ethiopia,36.6,65.8,Africa,112078727.0
47,Finland,1.9,81.9,Europe,5521606.0
48,Fiji,22.6,67.9,Oceania,889955.0
49,France,3.4,82.7,Europe,67248926.0
50,Gabon,31.5,66.6,Africa,2172578.0
51,United Kingdom,3.7,81.7,Europe,66836327.0
52,Georgia,8.4,73.5,Asia,3720161.0
53,Ghana,34.0,64.7,Africa,30417858.0
54,Guinea,63.4,59.7,Africa,12771246.0
55,Equatorial Guinea,60.0,61.6,Africa,1355982.0
56,Greece,3.7,81.2,Europe,10721582.0
57,Grenada,14.7,74.9,Americas,112002.0
58,Guatemala,20.7,73.1,Americas,16604026.0
59,Guyana,24.5,69.1,Americas,782775.0
60,Honduras,14.4,72.9,Americas,9746115.0
61,Croatia,3.9,78.7,Europe,4065253.0
62,Haiti,47.8,64.3,Americas,11263079.0
63,Hungary,3.4,76.5,Europe,9771141.0
64,Indonesia,20.2,70.5,Asia,270625567.0
65,India,28.3,70.9,Asia,1366417756.0
66,Ireland,2.7,82.3,Europe,4934340.0
67,Iraq,22.0,71.6,Asia,39309789.0
68,Iceland,1.6,82.4,Europe,360563.0
69,Israel,3.0,82.8,Asia,9054000.0
70,Italy,2.6,83.6,Europe,59729081.0
71,Jamaica,11.8,71.8,Americas,2948277.0
72,Jordan,13.3,76.0,Asia,10101697.0
73,Japan,1.8,84.4,Asia,126633000.0
74,Kazakhstan,9.0,71.6,Asia,18513673.0
75,Kenya,32.0,62.9,Africa,52573967.0
76,Cambodia,22.9,70.7,Asia,16486542.0
77,Kiribati,40.3,67.1,Oceania,117608.0
78,Kuwait,7.5,79.7,Asia,4207077.0
79,Lebanon,6.2,79.2,Asia,6855709.0
80,Liberia,59.5,61.1,Africa,4937374.0
81,Libya,9.9,72.5,Africa,6777453.0
82,Sri Lanka,6.2,76.0,Asia,21803000.0
83,Lesotho,71.4,54.2,Africa,2125267.0
84,Lithuania,2.9,76.2,Europe,2794137.0
85,Luxembourg,2.3,82.1,Europe,620001.0
86,Latvia,3.5,75.5,Europe,1913822.0
87,Morocco,16.7,74.3,Africa,36471766.0
88,Monaco,2.5,86.5,Europe,38967.0
89,Moldova,12.7,70.9,Europe,2664974.0
90,Madagascar,37.2,65.9,Africa,26969306.0
91,Maldives,6.0,80.1,Asia,530957.0
92,Mexico,12.2,74.2,Americas,127575529.0
93,Marshall Islands,26.3,64.7,Oceania,58791.0
94,Mali,60.3,59.7,Africa,19658023.0
95,Malta,5.7,83.2,Europe,504062.0
96,Myanmar,36.1,66.6,Asia,54045422.0
97,Montenegro,2.1,77.0,Europe,622028.0
98,Mongolia,13.8,71.8,Asia,3225166.0
99,Mozambique,54.3,61.2,Africa,30366043.0
100,Mauritania,50.2,65.7,Africa,4525698.0
101,Mauritius,14.3,75.1,Africa,1265711.0
102,Malawi,30.1,64.1,Africa,18628749.0
103,Malaysia,7.3,75.8,Asia,31949789.0
104,Namibia,30.9,63.1,Africa,2494524.0
105,Niger,46.7,62.9,Africa,23310719.0
106,Nigeria,74.0,52.9,Africa,200963603.0
107,Nicaragua,14.3,74.1,Americas,6545503.0
108,Netherlands,3.5,82.0,Europe,17344874.0
109,Norway,1.9,83.0,Europe,5347896.0
110,Nepal,24.5,69.6,Asia,28608715.0
